Id,Symbol,Base,Quote,Active,Spot,Margin,Future,Leverage,Min Stake
210,0G/USDC:USDC,0G,USDC,True,,,Future,3,10.5
213,2Z/USDC:USDC,2Z,USDC,True,,,Future,3,10.5
28,AAVE/USDC:USDC,AAVE,USDC,True,,,Future,10,10.5
96,ACE/USDC:USDC,ACE,USDC,True,,,Future,3,10.5
65,ADA/USDC:USDC,ADA,USDC,True,,,Future,10,10.5
220,AERO/USDC:USDC,AERO,USDC,True,,,Future,3,10.5
167,AIXBT/USDC:USDC,AIXBT,USDC,True,,,Future,3,10.5
158,ALGO/USDC:USDC,ALGO,USDC,True,,,Future,5,10.5
107,ALT/USDC:USDC,ALT,USDC,True,,,Future,3,10.5
176,ANIME/USDC:USDC,ANIME,USDC,True,,,Future,3,10.5
8,APE/USDC:USDC,APE,USDC,True,,,Future,5,10.5
212,APEX/USDC:USDC,APEX,USDC,True,,,Future,3,10.5
27,APT/USDC:USDC,APT,USDC,True,,,Future,10,10.5
117,AR/USDC:USDC,AR,USDC,True,,,Future,5,10.5
11,ARB/USDC:USDC,ARB,USDC,True,,,Future,10,10.5
55,ARK/USDC:USDC,ARK,USDC,True,,,Future,3,10.5
207,ASTER/USDC:USDC,ASTER,USDC,True,,,Future,5,10.5
2,ATOM/USDC:USDC,ATOM,USDC,True,,,Future,5,10.5
6,AVAX/USDC:USDC,AVAX,USDC,True,,,Future,10,10.5
208,AVNT/USDC:USDC,AVNT,USDC,True,,,Future,5,10.5
225,AXS/USDC:USDC,AXS,USDC,True,,,Future,5,10.5
228,AZTEC/USDC:USDC,AZTEC,USDC,True,,,Future,3,10.5
189,BABY/USDC:USDC,BABY,USDC,True,,,Future,3,10.5
49,BANANA/USDC:USDC,BANANA,USDC,True,,,Future,3,10.5
26,BCH/USDC:USDC,BCH,USDC,True,,,Future,10,10.5
180,BERA/USDC:USDC,BERA,USDC,True,,,Future,5,10.5
59,BIGTIME/USDC:USDC,BIGTIME,USDC,True,,,Future,3,10.5
169,BIO/USDC:USDC,BIO,USDC,True,,,Future,3,10.5
62,BLUR/USDC:USDC,BLUR,USDC,True,,,Future,3,10.5
7,BNB/USDC:USDC,BNB,USDC,True,,,Future,10,10.5
120,BOME/USDC:USDC,BOME,USDC,True,,,Future,3,10.5
134,BRETT/USDC:USDC,BRETT,USDC,True,,,Future,3,10.5
64,BSV/USDC:USDC,BSV,USDC,True,,,Future,3,10.5
0,BTC/USDC:USDC,BTC,USDC,True,,,Future,40,10.5
